id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
69;25;1;38;basic;0;;108;46;5,44,46,47,53,65,76,108;;medalBased;1;7;Správné úhly;;zelvi-grafika-uhly;<xml id="toolbox" style="display: none">     <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block> </category></xml>;1;5
72;28;1;45;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Počítání s čísly;;ukolovka-cisla;;1;0
73;28;1;45;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Šifry a kódy;;ukolovka-sifry-kody;;1;0
74;28;1;45;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Zpracování souborů;;ukolovka-soubory;;1;0
75;28;1;45;basic;0;;;;;;medalBased;1;0;Obrázkové skrývačky;;ukolovka-obrazky;;0;0
76;29;1;44;basic;0;;77;78;5,6,47,49,53,59,69,77,108,117;;medalBased;1;8;Státy;;tabulky-staty;;1;2
77;29;1;44;basic;0;;;76;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,53,59,60,61,63,67,72,73,74,76,78,79,80,105,106,107,108,111,112,115,116,117,119;;medalBased;1;9;Olympijské medaile;;tabulky-olympiada;;1;1
78;29;1;44;basic;0;;76;79;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Výdaje z výletu;;tabulky-vylet;;1;3
79;29;1;44;basic;0;;78;80;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Statistiky jmen;;tabulky-jmena;;1;5
80;29;1;44;basic;0;;79;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Počasí;;tabulky-pocasi;{"normalization": ["dot-to-comma"]};1;10
86;20;1;26;combined;0;1,14;1,14;;18,50;;medalBased;1;10;;[];rozhodovacka-promenne-a-vyrazy-mix-1-uroven;;1;0
87;17;1;26;combined;0;31,2,3,16;31,2,3,16;;52,11,12,33,105,51;12,33,105;medalBased;1;10;;[];rozhodovacka-rizeni-vypocut-mix-1-uroven;;1;0
88;32;1;26;combined;0;17,13,32;17,13,32;;10,106,9,107;;medalBased;1;10;;[];rozhodovacka-datove-struktury-mix-1-uroven;;1;0
89;2;1;12;combined;0;1;;;;;medalBased;1;10;;;tymovka-promenne-vyrazy;;1;0
90;4;1;12;combined;0;2;;;;;medalBased;1;10;;;tymovka-cyklus-for;;1;0
91;5;1;12;combined;0;3;;;;;medalBased;1;10;;;tymovka-cyklus-while;;1;0
92;15;1;12;combined;0;13;;;;;medalBased;1;10;;;tymovka-seznamy-1-uroven;;1;0
93;18;1;12;combined;0;14;;;;;medalBased;1;9;;;tymovka-logicke-1-uroven;;1;0
94;15;1;12;combined;0;15;;;;;medalBased;2;10;;;tymovka-seznamy-2-uroven;;1;0
95;16;1;12;combined;0;16;;;;;medalBased;1;10;;;tymovka-funkce-1-uroven;;1;0
96;14;1;12;combined;0;17;;;;;medalBased;1;10;;;tymovka-retezce-1-uroven;;1;0
97;23;1;12;combined;0;31;;;;;medalBased;1;10;;;tymovka-podmineny-prikaz-1-uroven;;1;0
98;24;1;12;combined;0;32;;;;;medalBased;1;10;;;tymovka-slovniky-1-uroven;;1;0
99;27;1;12;combined;0;66;;;;;medalBased;2;10;;;tymovka-objekty-2-uroven;;1;0
